"","V1","V2","V3","V4","F1","F2","theta_V1","theta_V2","theta_V3","theta_V4","theta_F1","theta_F2"
"993",0.2,0.3,0.3,0.4,3,3,0.0233484978971938,0.0293946653869272,0.0257740281452218,0.0511661634595419,0.349469003141857,0.167429293458793
"994",0.3,0.3,0.3,0.4,3,3,0.0262261490109481,0.0294263189392407,0.0258038758968601,0.0511788058820842,0.34967681164987,0.167692181026654
"995",0.4,0.3,0.3,0.4,3,3,0.0298279949540187,0.0294660312309899,0.0258413294725035,0.0511946749877848,0.349937861933572,0.16802236249973
"996",0.5,0.3,0.3,0.4,3,3,0.0344199508206821,0.0295168106320463,0.025889231765916,0.0512149795300707,0.350272206922762,0.168445152320322
"997",0,0.4,0.3,0.4,3,3,0.0191095397512971,0.0333300058990216,0.0258999375666179,0.0511580799168219,0.349336206000474,0.168539718694443
"998",0.1,0.4,0.3,0.4,3,3,0.0210452084103616,0.0333533749180773,0.0259197967916469,0.0511665203612378,0.34947486767793,0.168715212740266
"999",0.2,0.4,0.3,0.4,3,3,0.0233884726056895,0.0333817078316306,0.025943877786052,0.0511767573071303,0.349643128627596,0.16892814265967
"1000",0.3,0.4,0.3,0.4,3,3,0.0262705816778827,0.0334166210072002,0.0259735566725916,0.0511893772443,0.349850687650249,0.169190764458552
"1001",0.4,0.4,0.3,0.4,3,3,0.0298777419635416,0.0334604188459156,0.0260107962178863,0.0512052172392187,0.350111409630408,0.169520592153255
"1002",0.5,0.4,0.3,0.4,3,3,0.0344759963457969,0.0335164153601639,0.0260584207966397,0.0512254828795791,0.350445306347685,0.169942891982888
"1003",0,0.5,0.3,0.4,3,3,0.0191509756516895,0.038370724490856,0.0261132005134385,0.0511713861635076,0.349554833298075,0.170429323345566
"1004",0.1,0.5,0.3,0.4,3,3,0.0210906147948732,0.0383965496997579,0.0261329096147763,0.0511798078159123,0.34969328690019,0.170604515363964
"1005",0.2,0.5,0.3,0.4,3,3,0.0234385725902638,0.0384278585847613,0.0261568077825973,0.0511900216355667,0.349861289693961,0.170817071193497
"1006",0.3,0.5,0.3,0.4,3,3,0.0263262631875872,0.0384664356709115,0.026186259930514,0.051202612462907,0.350068520143921,0.171079218092494
"1007",0.4,0.5,0.3,0.4,3,3,0.0299400749642238,0.0385148242809021,0.0262232123920551,0.0512184148221464,0.35032881089062,0.171408424857696
"1008",0.5,0.5,0.3,0.4,3,3,0.0345462089591206,0.0385766804243457,0.0262704650117075,0.0512386302583991,0.350662120811543,0.171829884255426
"1009",0,0,0.4,0.4,3,3,0.019039137482369,0.021505735119765,0.0289130070072541,0.0511354377687536,0.348964551183549,0.165355572844248
"1010",0.1,0,0.4,0.4,3,3,0.0209680563346245,0.0215218786140327,0.0289353977556296,0.0511439095231825,0.349103555199913,0.165531476387541
"1011",0.2,0,0.4,0.4,3,3,0.0233033399955218,0.0215414534678673,0.0289625493397012,0.051154185020323,0.349272241309546,0.165744916598081
"1012",0.3,0,0.4,0.4,3,3,0.0261759565079566,0.0215655782674341,0.0289960144030456,0.0511668535169137,0.349480342195594,0.166008191471753
"1013",0.4,0,0.4,0.4,3,3,0.029771800814457,0.0215958486577736,0.0290380081800027,0.051182756355255,0.34974177662949,0.166338882182095
"1014",0.5,0,0.4,0.4,3,3,0.0343566437619571,0.0216345611852269,0.0290917197553993,0.0512031059330689,0.350076645089702,0.166762366201314
"1015",0,0.1,0.4,0.4,3,3,0.0190574183798473,0.0236761823520595,0.0290177366093193,0.051141321226384,0.349061079751333,0.166179204167243
"1016",0.1,0.1,0.4,0.4,3,3,0.0209880920291827,0.023693741533608,0.0290400642698564,0.0511497854158123,0.34920000427488,0.166355082544239
"1017",0.2,0.1,0.4,0.4,3,3,0.0233254510557864,0.0237150324698704,0.0290671389231757,0.0511600515852179,0.349368591354694,0.166568488625192
"1018",0.3,0.1,0.4,0.4,3,3,0.0262005370724238,0.0237412713736194,0.029100508410974,0.0511727083094539,0.349576565498932,0.166831715098629
"1019",0.4,0.1,0.4,0.4,3,3,0.0297993267194721,0.0237741929218205,0.0291423808805729,0.0511885958723604,0.349837832365305,0.167162333647365
"1020",0.5,0.1,0.4,0.4,3,3,0.03438766280586,0.0238162933163805,0.0291959347566395,0.051208924975232,0.350172470635851,0.167585704275807
"1021",0,0.2,0.4,0.4,3,3,0.0190793744981869,0.0262971814409534,0.029143523059377,0.0511483836827088,0.349176992879819,0.167171357100692
"1022",0.1,0.2,0.4,0.4,3,3,0.0210121550607977,0.0263163774835761,0.029165772364313,0.0511568386409454,0.349315819436506,0.167347183752668
"1023",0.2,0.2,0.4,0.4,3,3,0.0233520056669182,0.0263396524526177,0.0291927514998324,0.0511670934321714,0.349484284567482,0.167560522806714
"1024",0.3,0.2,0.4,0.4,3,3,0.0262300560883664,0.0263683352970371,0.0292260023635061,0.0511797358035961,0.349692102803891,0.167823659088491
"1025",0.4,0.2,0.4,0.4,3,3,0.0298323807618396,0.0264043211925748,0.0292677243589073,0.0511956047550992,0.349953163831061,0.168154150817856
"1026",0.5,0.2,0.4,0.4,3,3,0.0344249084060249,0.0264503366863775,0.029321082765467,0.0512159089335048,0.350287519842169,0.168577334021603
"1027",0,0.3,0.4,0.4,3,3,0.0191061084111913,0.0295094418000901,0.0292966841821372,0.0511569773526576,0.3493180975328,0.168383757969266
